Dialect,BLEU,chrF+,BERTScore F1,ROUGE-L,TER (↓)
Std Yoruba,0.08,8.28,0.7505,0.0146,193.94
Ilaje,0.09,6.34,0.7434,0.0059,177.2
Ife,0.09,7.01,0.7378,0.0089,188.12
