Dialect,BLEU,chrF+,BERTScore F1,ROUGE-L,TER (↓)
Std Yoruba,22.88,50.06,0.9288,0.5178,68.9
Ilaje,10.04,35.82,0.8963,0.331,97.19
Ife,10.82,37.25,0.9007,0.3503,94.92
